date,title,author,flags
2024-09,Siddhartha Mukherjee,Emperor of All Maladies,a
2024-09-03,Andrew H. Knoll,A Brief History of Earth,b
2024-08,Kim Stanley Robinson,Green Mars,a
2023-08-19,Toh Enjoe,Harlequin Butterfly,b
2023-08-11,Ann Patchett,Bel Canto,b
2024-07,Renee Gladman,Event Factory,b
2024-07-15,Charles Yu,Interior Chinatown,b
2024-07-13,Jennifer Egan,Emerald City,b
2024-07-10,Michael Lewis,The Big Short,b
2024-07-03,Magda Szabó,The Door,b
2024-06-30,Christina Thompson,Sea People: The Puzzle of Polynesia,ab
2024-06-23,HFM + Keith Gessen,Diary of a Very Bad Year,b
2024-06-18,Kim Stanley Robinson,Red Mars,a
2024-06-18,Ottessa Moshfegh,Death in Her Hands,
2024-06-08,Jean-Patrick Manchette,Fatale,b
2024-06-07,Lucy Ives,Cosmogony: Stories,b
2024-05-28,Adolfo Bioy Casares,The Invention of Morel,b
2024-05-23,Robin Sloan,Ajax Penumbra 1969,b
2024-05-23,Robin Sloan,Mr. Penumbra's 24-Hour Bookstore,b
2024-05-15,Susie Boyt,Loved and Missed,b
2024-05-12,Frank Close,Elusive: How Peter Higgs Solved the Mystery of Mass,a
2024-05-09,Percival Everett,Telephone,b
2024-05-08,Nana Kwame Adjei-Brenyah,Chain-Gang All-Stars,b
2024-05-05,Robert Draper,To Start a War,b
2024-04-27,Iain M Banks,Use of Weapons,ab
2024-04-07,César Aira,The Literary Conference,b
2024-04-01,Ryū Murakami,In the Miso Soup,b
2024-03,Seth Rogen,Yearbook,a
2024-03-25,Kevin Maloney,The Red-Headed Pilgrim,a
2024-03-21,Danielle Evans,The Office of Historical Corrections,ab
2024-03-19,Caroline Forché,What You Have Heard Is True,a
2024-03-17,Ray Nayler,The Mountain in the Sea,b
2024-03,Kevin Mitnick,Ghost in the Wires,a
2024-03-10,Michael W. Clune,White Out,b
2024-03-07,John Jeremiah Sullivan,Pulphead,a
2024-03-03,Percival Everett,Erasure,a
2024-02-26,Hilary Mantel,The Mirror and the Light,a
2024-02-25,Percival Everett,The Trees,b
2024-02-20,Roberto Bolaño,By Night in Chile,b
2024-02-18,Emmanuel Carrére,Yoga,b
2024-02-16,Susanna Clarke,Piranesi,b
2024-02-10,Robert Coover,"The Universal Baseball Association, J. Henry Waugh, Prop.",b
2024-02-04,Fleur Jaeggy,Sweet Days of Discipline,b
2024-02-04,Charles Burns,Black Hole,b
2024-02-02,Max Lavergne,Blue Night at the Cult,b
2024-01-29,Mary Doria Russell,Children of God,b
2024-01-28,qntm,There Is No Antimemetics Division,b
2024-01-27,Parker Young,Cheap Therapist Says You're Insane,b
2024-01-17,Olga Ravn,The Employees: A Workplace Novel of the 22nd Century,b
2023-12-29,Stephen Florida,Gabe Habash,b
2023-12-29,Homesick for Another World,Ottessa Moshfegh,b
2023-12-10,Bring Up the Bodies,Hilary Mantel,a
2023-11,Wolf Hall,Hilary Mantel,a
2023-10-29,Universal Harvester,John Darnielle,b
,The Martian,Andy Weir,a
,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,a
,Vincent and Alice and Alice,Shane Jones,b
,The City and the City,China Miéville,b
,My Struggle: Book 2,Karl Ove Knausgard,a
,The Miniature Wife,Manuel Gonzales,b
,Klara and the Sun,Kazuo Ishiguro,a
,Termination Shock,Neal Stephenson,a
,Nothing to See Here,Kevin Wilson,a
,Pure Color,Sheila Heti,b
,The Diamond Age,Neal Stephenson,b
,When We Cease To Understand the World,Benjamín Labatut,b
,Gideon the Ninth,Tasmyn Muir,b
,The Slynx,Tatyana Tolstaya,b
,The Anomoly,Hervé Le Tellier,b
,Rusty Brown,Chris Ware,b
,Let Me Tell You What I Mean,Joan Didion,a
,Killing Commendatore,Haruki Murakami,a
,Taipei,Tao Lin,b
,The Lost Daughter,Elena Ferrante,a
,The Braindead Megaphone,George Saunders,b
,Imago,Octavia E. Butler,b
,Adulthood Rites,Octavia E. Butler,b
,White Teeth,Zadie Smith,b
,Liberation Day,George Saunders,b
,The Devil's Highway,Luis Alberto Urrea,a
,Running Out,Lucas Bessire,b
,The Netanyahus,Joshua Cohen,b
,Blindsight,Peter Watts,b
,After the Quake,Haruki Murakami,a
,Player of Games,Iain M. Banks,b
,Either/Or,Elif Batuman,b
,In the Dream House,Carmen Maria Machado,b
,Crossroads,Jonathan Franzen,b
,The Story of the Lost Child,Elena Ferrante,b
,House of Leaves,Mark Z. Danielewski,b
,Ball Lightning,Liu Cixin,a
,The Transit of Venus,Shirley Hazzard,b
,Harlem Shuffle,Colson Whitehead,a
,Manhattan Beach,Jennifer Egan,a
,Uncanny Valley,Anna Wiener,a
,The Copenhagen Trilogy,Tove Ditlevsen,a
,Waiting for the Barbarians,J.M. Coetzee,b
,"Gun, With Occasional Music",Jonathan Lethem,b
,The Dark Tower: The Gunslinger,Stephen King,a
,10:04,Ben Lerner,b
,The Body Scout,Lincoln Michel,b
,Fleishman Is in Trouble,Taffy Brodesser-Akner,b
,Candy House,Jennifer Egan,b
,Portnoy's Complaint,Philip Roth,b
,Leaving the Atocha Station,Ben Lerner,b
,The Only Story,Julian Barnes,b
,Those Who Leave and Those Who Stay,Elena Ferrante,b
,The Story of a New Name,Elena Ferrante,b
,The Sense of an Ending,Julian Barnes,b
,No One is Talking About This,Patricia Lockwood,b
,"Detransition, Baby",Torrey Peters,b
,The Human Stain,Philip Roth,b
,Atonement,Ian McEwan,b
,The Autograph Man,Zadie Smith,b
,Everyman,Philip Roth,b
,Red at the Bone,Jacqueline Woodson,b
,Brat,Michael DeForge,b
,Maps and Politics,Jeremy Black,b
,Fake Accounts,Lauren Oyler,b
,NW,Zadie Smith,b
,The Leopard,Giuseppe Tomasi di Lampedusa,b
,Brat,Michael DeForge,b
,Dark Matter,Blake Crouch,b
,2666,Roberto Bolaño,b
,The Hitchiker's Guide to the Galaxy,Douglas Adams,rb
,The Argonauts,Maggie Nelson,b
,Pachinko,Min Jin Lee,b
,The Underground Railroad,Colson Whitehead,b
,The Idiot,Elif Batuman,b
,Barbarian Days: A Surfing Life,William Finnegan,b
,Borne,Jeff VanderMeer,b
,Lincoln in the Bardo,George Saunders,b
,Dawn,Octavia Butler,b
,Say Nothing,Patrick Radden Keefe,b
,The Remains of the Day,Kazuo Ishiguro,b
,Parable of the Sower,Octavia Butler,b
,Bad Blood,John Carreyrou,a
,The White Album,Joan Didion,b
,Norwegian Wood,Haruki Murakami,b
,The Sparrow,Mary Doria Russell,b
,The Unwinding,George Packer,a
,A Visit from the Goon Squad,Jennifer Egan,b
,Libra,Don Delillo,b
,Consider Phlebas,Iain M. Banks,b
,Secondhand Time: The Last of the Soviets,Svetlana Alexievich,b
,Outline,Rachel Cusk,b
,Waiting for Godot,Samuel Beckett,b
,Old Man's War,John Scalzi,b
,Milkman,Anna Burns,b
,"Flow My Tears, the Policeman Said",Philip K. Dick,a
,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Perez,a
,Let's Explore Diabetes with Owls,David Sedaris,a
,A Terrible Country,Keith Gessen,b
,My Brilliant Friend,Elena Ferrante,b
,Nixonland,Rick Perlstein,a
,Less,Andre Sean Greer,a
,Hall of Small Mammals: Stories,Thomas Pierce,a
,The Wind-Up Bird Chronicle,Haruki Murakami,b
,The Kingdom,Emmanuel Carrère,b
